                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2397,                 1.2181,                  1.291,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00047612,             0.00047612,             0.00047612
                      1,                 1.2911,                 1.1931,                 1.3275,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00094302,             0.00094302,             0.00094302
                      2,                 1.3091,                 1.2169,                 1.3193,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0014005,              0.0014005,              0.0014005
                      3,                 1.3334,                 1.2732,                 1.3349,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      4,                 1.3392,                 1.2865,                 1.3223,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3123,                 1.2662,                 1.3294,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013724,              0.0013724,              0.0013724
                      6,                  1.323,                 1.2619,                 1.3206,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.3272,                 1.2622,                 1.3237,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      8,                  1.304,                 1.2368,                 1.3094,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00133,                0.00133,                0.00133
                      9,                 1.3013,                 1.2401,                 1.3051,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.3061,                  1.242,                 1.3087,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2736,                 1.1952,                  1.284,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2753,                 1.2094,                 1.2942,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.2769,                  1.182,                 1.2944,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.2675,                 1.1691,                 1.2926,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.2746,                 1.1812,                 1.2967,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     16,                  1.286,                 1.1832,                 1.3015,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.2673,                  1.164,                 1.2857,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
